pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
EURUSD,short,2016-05-31,2016-06-06,1.114840,1.135100,-0.018173,6,stop
EURUSD,long,2016-08-19,2016-10-11,1.134945,1.114082,-0.018382,53,reversal
EURUSD,short,2016-10-11,2016-11-03,1.114082,1.109755,0.003884,23,stop
EURUSD,long,2017-01-25,2017-02-13,1.072869,1.061954,-0.010174,19,stop
EURUSD,short,2017-03-06,2017-03-13,1.062045,1.069004,-0.006553,7,stop
EURUSD,long,2017-03-28,2017-04-07,1.086095,1.064464,-0.019916,10,stop
EURUSD,short,2017-10-10,2017-11-15,1.174164,1.179287,-0.004363,36,stop
EURUSD,long,2017-12-04,2018-02-28,1.185986,1.223032,0.031236,86,stop
EURUSD,short,2018-03-21,2018-03-27,1.225190,1.245749,-0.016780,6,stop
EURUSD,long,2018-04-18,2018-04-23,1.237317,1.227340,-0.008064,5,reversal
EURUSD,short,2018-04-23,2018-07-09,1.227340,1.175226,0.042461,77,stop
EURUSD,long,2018-07-27,2018-08-03,1.164293,1.158601,-0.004889,7,stop
EURUSD,short,2018-08-07,2018-08-27,1.155802,1.164890,-0.007863,20,stop
EURUSD,long,2018-09-17,2018-10-03,1.162899,1.155175,-0.006642,16,stop
EURUSD,short,2018-10-22,2018-12-21,1.150947,1.145685,0.004571,60,stop
EURUSD,long,2018-12-31,2019-01-25,1.143995,1.131350,-0.011053,25,stop
EURUSD,short,2019-02-11,2019-03-21,1.132426,1.142792,-0.009154,38,stop
EURUSD,long,2019-06-17,2019-07-08,1.121705,1.122738,0.000921,21,stop
EURUSD,short,2019-07-26,2019-10-17,1.114616,1.107493,0.006390,83,stop
EURUSD,long,2019-10-29,2019-11-08,1.109915,1.101970,-0.007158,10,stop
EURUSD,short,2019-12-03,2019-12-06,1.107911,1.110543,-0.002377,3,stop
EURUSD,long,2019-12-23,2020-01-22,1.107984,1.108561,0.000521,30,stop
EURUSD,short,2020-01-31,2020-02-28,1.102913,1.099723,0.002892,28,stop
EURUSD,long,2020-03-16,2020-03-20,1.115536,1.065735,-0.044644,4,stop
EURUSD,short,2020-04-07,2020-05-21,1.080380,1.098298,-0.016584,44,stop
EURUSD,long,2020-05-27,2020-09-23,1.098177,1.170837,0.066164,119,stop
EURUSD,short,2020-09-29,2020-10-21,1.167883,1.182984,-0.012930,22,stop
EURUSD,long,2020-11-12,2021-01-18,1.178030,1.206811,0.024432,67,stop
EURUSD,short,2021-02-03,2021-02-23,1.203905,1.216680,-0.010611,20,stop
EURUSD,long,2021-04-29,2021-06-14,1.213592,1.211020,-0.002119,46,stop
EURUSD,short,2021-06-24,2021-07-30,1.193317,1.189300,0.003367,36,stop
EURUSD,long,2021-09-17,2021-09-20,1.176747,1.172993,-0.003190,3,stop
EURUSD,short,2021-09-30,2021-10-29,1.160160,1.168361,-0.007069,29,stop
EURUSD,long,2022-01-17,2022-01-27,1.141070,1.124354,-0.014650,10,stop
EURUSD,short,2022-02-15,2022-02-17,1.130633,1.137527,-0.006097,2,reversal
EURUSD,long,2022-02-17,2022-02-22,1.137527,1.130966,-0.005768,5,reversal
EURUSD,short,2022-02-22,2022-02-24,1.130966,1.130569,0.000350,2,reversal
EURUSD,long,2022-02-24,2022-02-25,1.130569,1.119069,-0.010172,1,stop
EURUSD,short,2022-03-04,2022-03-31,1.106684,1.116184,-0.008583,27,stop
EURUSD,long,2022-06-20,2022-06-22,1.049142,1.053264,0.003929,2,reversal
EURUSD,short,2022-06-22,2022-08-11,1.053264,1.030078,0.022013,50,stop
EURUSD,long,2022-11-10,2023-01-06,1.001954,1.052222,0.050170,57,stop
EURUSD,short,2023-02-28,2023-03-22,1.061121,1.077424,-0.015364,22,stop
EURUSD,long,2023-04-04,2023-05-15,1.091227,1.085270,-0.005459,41,stop
EURUSD,short,2023-05-26,2023-06-15,1.072444,1.084305,-0.011060,20,stop
EURUSD,long,2023-07-05,2023-08-03,1.088495,1.094415,0.005439,29,stop
EURUSD,short,2023-08-21,2023-10-24,1.087559,1.066985,0.018918,64,stop
EURUSD,long,2023-11-14,2023-12-07,1.070183,1.076670,0.006062,23,stop
EURUSD,short,2024-01-29,2024-02-27,1.084352,1.085093,-0.000684,29,stop
EURUSD,long,2024-03-14,2024-03-25,1.095530,1.080754,-0.013488,11,stop
EURUSD,short,2024-04-12,2024-05-07,1.072685,1.076751,-0.003790,25,stop
EURUSD,long,2024-05-23,2024-06-10,1.082520,1.077888,-0.004279,18,stop
EURUSD,short,2024-06-28,2024-07-05,1.070847,1.081069,-0.009546,7,stop
EURUSD,long,2024-07-22,2024-08-02,1.089918,1.078760,-0.010237,11,stop
EURUSD,short,2024-10-16,2024-11-06,1.088412,1.093446,-0.004625,21,stop
GBPUSD,long,2010-04-22,2010-04-28,1.537397,1.520427,-0.011038,6,stop
GBPUSD,short,2010-05-13,2010-06-10,1.461390,1.470848,-0.006472,28,stop
GBPUSD,long,2010-07-01,2010-08-23,1.516576,1.554509,0.025012,53,stop
GBPUSD,short,2010-09-10,2010-09-16,1.542591,1.563404,-0.013492,6,stop
GBPUSD,long,2010-10-06,2010-11-24,1.589143,1.580503,-0.005437,49,stop
GBPUSD,short,2010-12-06,2011-01-13,1.576790,1.574927,0.001181,38,stop
GBPUSD,long,2011-01-25,2011-03-17,1.598644,1.599130,0.000304,51,stop
GBPUSD,short,2011-04-06,2011-04-07,1.630098,1.632493,-0.001469,1,stop
GBPUSD,long,2011-04-08,2011-05-13,1.632120,1.628399,-0.002280,35,stop
GBPUSD,short,2011-06-01,2011-07-22,1.646497,1.632333,0.008602,51,stop
GBPUSD,long,2011-08-05,2011-09-02,1.623587,1.618804,-0.002946,28,stop
GBPUSD,short,2011-09-14,2011-10-17,1.578607,1.582629,-0.002548,33,stop
GBPUSD,long,2011-11-03,2011-11-17,1.591191,1.570796,-0.012818,14,stop
GBPUSD,short,2011-12-05,2012-01-25,1.560988,1.562695,-0.001094,51,stop
GBPUSD,long,2012-02-07,2012-03-15,1.581278,1.565435,-0.010019,37,stop
GBPUSD,short,2012-05-29,2012-06-18,1.566907,1.571586,-0.002986,20,stop
GBPUSD,long,2012-07-30,2012-10-09,1.572822,1.603412,0.019449,71,stop
GBPUSD,short,2012-11-05,2012-11-30,1.602102,1.604107,-0.001251,25,stop
GBPUSD,long,2012-12-14,2013-01-10,1.611603,1.601537,-0.006246,27,stop
GBPUSD,short,2013-01-24,2013-03-25,1.583280,1.524599,0.037063,60,stop
GBPUSD,long,2013-04-18,2013-05-15,1.524390,1.522719,-0.001096,27,stop
GBPUSD,short,2013-05-30,2013-06-06,1.513134,1.540334,-0.017976,7,stop
GBPUSD,long,2013-06-19,2013-06-27,1.563697,1.532591,-0.019893,8,stop
GBPUSD,short,2013-07-11,2013-07-23,1.518003,1.536523,-0.012200,12,stop
GBPUSD,long,2013-08-14,2013-11-04,1.545070,1.592382,0.030622,82,stop
GBPUSD,short,2013-11-22,2013-11-25,1.618699,1.623113,-0.002727,3,stop
GBPUSD,long,2013-11-29,2014-02-04,1.634094,1.630896,-0.001957,67,stop
GBPUSD,short,2014-06-11,2014-06-13,1.675323,1.695893,-0.012278,2,stop
GBPUSD,long,2014-06-19,2014-07-24,1.699871,1.704100,0.002488,35,stop
GBPUSD,short,2014-08-11,2015-02-06,1.677711,1.532591,0.086499,179,stop
GBPUSD,long,2015-02-27,2015-03-06,1.541806,1.524762,-0.011054,7,stop
GBPUSD,short,2015-03-19,2015-04-23,1.496200,1.503759,-0.005053,35,stop
GBPUSD,long,2015-05-06,2015-06-01,1.517428,1.528888,0.007553,26,stop
GBPUSD,short,2015-08-12,2015-08-25,1.558409,1.576293,-0.011475,13,stop
GBPUSD,long,2015-11-03,2015-11-06,1.542401,1.521005,-0.013872,3,stop
GBPUSD,short,2015-11-13,2016-02-04,1.523461,1.458576,0.042590,83,stop
GBPUSD,long,2016-04-04,2016-04-08,1.422455,1.405797,-0.011710,4,stop
GBPUSD,short,2016-04-08,2016-04-20,1.405797,1.438952,-0.023584,12,stop
GBPUSD,long,2016-04-21,2016-06-13,1.433897,1.418882,-0.010471,53,stop
GBPUSD,short,2016-06-23,2016-08-03,1.478940,1.333778,0.098153,41,stop
GBPUSD,long,2016-09-09,2016-09-19,1.331026,1.301626,-0.022089,10,stop
GBPUSD,short,2016-10-04,2016-11-04,1.284852,1.246883,0.029551,31,stop
GBPUSD,long,2016-12-02,2016-12-20,1.258970,1.239004,-0.015859,18,stop
GBPUSD,short,2017-01-04,2017-01-24,1.224560,1.251721,-0.022181,20,stop
GBPUSD,long,2017-02-09,2017-02-27,1.252803,1.239956,-0.010254,18,stop
GBPUSD,short,2017-03-10,2017-03-22,1.215732,1.248206,-0.026712,12,stop
GBPUSD,long,2017-04-10,2017-05-29,1.237517,1.281427,0.035483,49,stop
GBPUSD,short,2017-06-20,2017-06-29,1.273237,1.294147,-0.016423,9,stop
GBPUSD,long,2017-07-18,2017-08-16,1.305313,1.286703,-0.014257,29,stop
GBPUSD,short,2017-08-30,2017-09-06,1.292658,1.304121,-0.008868,7,stop
GBPUSD,long,2017-09-18,2017-10-05,1.357515,1.323276,-0.025222,17,stop
GBPUSD,short,2017-10-31,2017-11-23,1.321248,1.331682,-0.007897,23,stop
GBPUSD,long,2017-12-04,2018-03-01,1.349400,1.375421,0.019283,87,stop
GBPUSD,short,2018-03-16,2018-03-20,1.393864,1.402525,-0.006213,4,stop
GBPUSD,long,2018-04-02,2018-04-23,1.403824,1.400168,-0.002604,21,stop
GBPUSD,short,2018-05-07,2018-08-30,1.353198,1.303594,0.036657,115,stop
GBPUSD,long,2018-09-21,2018-10-04,1.327087,1.294063,-0.024885,13,stop
GBPUSD,short,2018-11-01,2018-11-08,1.276944,1.312853,-0.028121,7,stop
GBPUSD,long,2019-01-21,2019-02-12,1.285347,1.286405,0.000823,22,stop
GBPUSD,short,2019-04-19,2019-05-06,1.299444,1.315063,-0.012020,17,stop
GBPUSD,long,2019-09-19,2019-10-09,1.247054,1.221956,-0.020126,20,stop
GBPUSD,short,2020-01-31,2020-02-03,1.308900,1.318166,-0.007079,3,stop
GBPUSD,long,2020-05-05,2020-05-13,1.244555,1.225490,-0.015319,8,stop
GBPUSD,short,2020-05-29,2020-06-02,1.232149,1.248704,-0.013436,4,stop
GBPUSD,long,2020-06-12,2020-06-22,1.257703,1.234812,-0.018201,10,stop
GBPUSD,short,2020-09-28,2020-10-12,1.276683,1.303169,-0.020747,14,stop
GBPUSD,long,2020-11-05,2021-03-22,1.296680,1.383260,0.066770,137,stop
GBPUSD,short,2021-04-05,2021-04-20,1.383126,1.399384,-0.011755,15,stop
GBPUSD,long,2021-05-07,2021-06-17,1.389854,1.399071,0.006632,41,stop
GBPUSD,short,2021-06-30,2021-07-30,1.384275,1.396433,-0.008784,30,stop
GBPUSD,long,2022-01-10,2022-01-27,1.359231,1.346801,-0.009145,17,stop
GBPUSD,short,2022-03-03,2022-05-26,1.339692,1.258610,0.060523,84,stop
GBPUSD,long,2022-08-18,2022-08-19,1.204515,1.193275,-0.009331,1,stop
GBPUSD,short,2022-08-24,2022-10-26,1.183278,1.146224,0.031315,63,stop
GBPUSD,long,2022-11-08,2022-12-28,1.151795,1.202733,0.044225,50,stop
GBPUSD,short,2023-02-23,2023-03-14,1.204993,1.217137,-0.010078,19,stop
GBPUSD,long,2023-04-03,2023-05-19,1.228697,1.241234,0.010203,46,stop
GBPUSD,short,2023-06-06,2023-06-09,1.243317,1.255950,-0.010161,3,stop
GBPUSD,long,2023-06-19,2023-08-03,1.283038,1.272038,-0.008574,45,stop
GBPUSD,short,2023-08-17,2023-11-06,1.272815,1.237379,0.027841,81,stop
GBPUSD,long,2023-11-20,2024-02-06,1.245454,1.253447,0.006418,78,stop
GBPUSD,short,2024-02-09,2024-03-06,1.262053,1.270487,-0.006683,26,stop
GBPUSD,long,2024-03-13,2024-03-25,1.279591,1.259795,-0.015470,12,stop
GBPUSD,short,2024-04-10,2024-05-14,1.267765,1.256187,0.009132,34,stop
GBPUSD,long,2024-05-23,2024-06-21,1.272103,1.266047,-0.004760,29,stop
GBPUSD,short,2024-10-24,2024-12-11,1.291372,1.278004,0.010352,48,stop
AUDUSD,long,2010-03-15,2010-04-27,0.913659,0.916590,0.003208,43,stop
AUDUSD,short,2010-05-12,2010-06-14,0.895175,0.858516,0.040951,33,stop
AUDUSD,long,2010-07-08,2010-08-20,0.877424,0.891425,0.015957,43,stop
AUDUSD,short,2010-12-07,2010-12-14,0.988631,0.995025,-0.006468,7,stop
AUDUSD,long,2010-12-28,2011-01-12,1.005803,0.982222,-0.023446,15,stop
AUDUSD,short,2011-06-10,2011-07-04,1.062699,1.077795,-0.014205,24,stop
AUDUSD,long,2011-07-18,2011-08-05,1.064804,1.042905,-0.020566,18,stop
AUDUSD,short,2011-08-18,2011-08-30,1.053952,1.067954,-0.013285,12,stop
AUDUSD,long,2011-11-03,2011-11-17,1.025305,1.005298,-0.019513,14,stop
AUDUSD,short,2011-12-02,2011-12-06,1.022296,1.025662,-0.003292,4,stop
AUDUSD,long,2012-01-11,2012-03-07,1.029803,1.056602,0.026024,56,stop
AUDUSD,short,2012-03-23,2012-04-30,1.040150,1.045631,-0.005270,38,stop
AUDUSD,long,2012-07-03,2012-08-27,1.023803,1.040485,0.016294,55,stop
AUDUSD,short,2012-09-12,2012-09-13,1.043047,1.046605,-0.003412,1,stop
AUDUSD,long,2012-11-09,2012-12-24,1.040107,1.039696,-0.000395,45,stop
AUDUSD,short,2013-02-11,2013-03-15,1.032279,1.038023,-0.005564,32,stop
AUDUSD,long,2013-04-02,2013-04-16,1.043798,1.033805,-0.009573,14,stop
AUDUSD,short,2013-05-07,2013-09-05,1.024485,0.917179,0.104742,121,stop
AUDUSD,long,2013-09-19,2013-11-08,0.949758,0.945626,-0.004350,50,stop
AUDUSD,short,2013-11-21,2014-01-13,0.932836,0.901307,0.033799,53,stop
AUDUSD,long,2014-02-21,2014-05-21,0.900982,0.923446,0.024933,89,stop
AUDUSD,short,2014-06-04,2014-06-11,0.926183,0.937207,-0.011902,7,stop
AUDUSD,long,2014-06-20,2014-08-01,0.940026,0.930233,-0.010419,42,stop
AUDUSD,short,2014-08-07,2014-08-29,0.934667,0.935541,-0.000936,22,stop
AUDUSD,long,2015-05-01,2015-05-25,0.790326,0.781189,-0.011562,24,stop
AUDUSD,short,2015-06-11,2015-10-08,0.773156,0.719476,0.069429,119,stop
AUDUSD,long,2015-10-22,2015-10-29,0.721553,0.710076,-0.015906,7,stop
AUDUSD,short,2015-11-18,2015-11-23,0.711389,0.722909,-0.016193,5,stop
AUDUSD,long,2015-12-04,2015-12-18,0.732977,0.712809,-0.027514,14,stop
AUDUSD,short,2016-01-12,2016-02-02,0.698714,0.711086,-0.017706,21,stop
AUDUSD,long,2016-02-23,2016-05-04,0.723484,0.749963,0.036598,71,stop
AUDUSD,short,2016-05-16,2016-06-06,0.727484,0.734700,-0.009919,21,stop
AUDUSD,long,2016-06-30,2016-08-29,0.746993,0.754432,0.009959,60,stop
AUDUSD,short,2016-09-16,2016-09-28,0.751315,0.766989,-0.020862,12,stop
AUDUSD,long,2016-10-17,2016-11-14,0.759647,0.754945,-0.006190,28,stop
AUDUSD,short,2016-11-21,2017-01-10,0.732332,0.735998,-0.005005,50,stop
AUDUSD,long,2017-01-25,2017-03-03,0.759244,0.757232,-0.002650,37,stop
AUDUSD,short,2017-03-28,2017-05-25,0.762893,0.749749,0.017229,58,stop
AUDUSD,long,2017-06-16,2017-08-15,0.758553,0.785361,0.035341,60,stop
AUDUSD,short,2017-10-06,2017-12-15,0.779059,0.766501,0.016120,70,stop
AUDUSD,long,2018-01-01,2018-02-06,0.780214,0.787464,0.009292,36,stop
AUDUSD,short,2018-02-28,2018-04-16,0.779362,0.777448,0.002457,47,stop
AUDUSD,long,2018-11-16,2018-12-10,0.727167,0.718494,-0.011927,24,stop
AUDUSD,short,2018-12-28,2019-01-10,0.703532,0.717566,-0.019948,13,stop
AUDUSD,long,2019-02-01,2019-02-08,0.727167,0.709542,-0.024238,7,stop
AUDUSD,short,2019-03-05,2019-04-11,0.709220,0.716692,-0.010535,37,stop
AUDUSD,long,2019-04-15,2019-04-25,0.717309,0.701459,-0.022096,10,stop
AUDUSD,short,2019-05-06,2019-06-05,0.697331,0.699139,-0.002594,30,stop
AUDUSD,long,2019-07-10,2019-07-29,0.692713,0.690622,-0.003018,19,stop
AUDUSD,short,2019-08-06,2019-09-09,0.676352,0.684669,-0.012297,34,stop
AUDUSD,long,2019-09-30,2019-10-01,0.676087,0.675311,-0.001148,1,stop
