date,spy_close,ma200,position,bench_return,gross_return,cost,net_return,cum_strategy,cum_benchmark
2010-11-26,89.928299,85.356464,1.000000,-0.011647,-0.011647,0.000000,-0.011647,1.003887,1.063253
2010-11-29,90.200836,85.404316,1.000000,0.003031,0.003031,0.000000,0.003031,1.006930,1.066475
2010-11-30,89.693657,85.443288,1.000000,-0.005623,-0.005623,0.000000,-0.005623,1.001268,1.060479
2010-12-01,91.601227,85.489857,1.000000,0.021268,0.021268,0.000000,0.021268,1.022563,1.083033
2010-12-02,92.774521,85.539868,1.000000,0.012809,0.012809,0.000000,0.012809,1.035660,1.096905
2010-12-03,93.024323,85.590269,1.000000,0.002693,0.002693,0.000000,0.002693,1.038449,1.099858
2010-12-06,92.925957,85.640104,1.000000,-0.001057,-0.001057,0.000000,-0.001057,1.037351,1.098695
2010-12-07,92.978905,85.695241,1.000000,0.000570,0.000570,0.000000,0.000570,1.037942,1.099321
2010-12-08,93.319519,85.748312,1.000000,0.003663,0.003663,0.000000,0.003663,1.041744,1.103349
2010-12-09,93.682884,85.803760,1.000000,0.003894,0.003894,0.000000,0.003894,1.045800,1.107645
2010-12-10,94.227905,85.861672,1.000000,0.005818,0.005818,0.000000,0.005818,1.051885,1.114089
2010-12-13,94.288460,85.915595,1.000000,0.000643,0.000643,0.000000,0.000643,1.052561,1.114805
2010-12-14,94.371758,85.968778,1.000000,0.000883,0.000883,0.000000,0.000883,1.053490,1.115789
2010-12-15,93.940254,86.019430,1.000000,-0.004572,-0.004572,0.000000,-0.004572,1.048674,1.110688
2010-12-16,94.485291,86.071539,1.000000,0.005802,0.005802,0.000000,0.005802,1.054758,1.117132
2010-12-17,94.586487,86.118146,1.000000,0.001071,0.001071,0.000000,0.001071,1.055888,1.118328
2010-12-20,94.814751,86.165820,1.000000,0.002413,0.002413,0.000000,0.002413,1.058436,1.121027
2010-12-21,95.415901,86.215790,1.000000,0.006340,0.006340,0.000000,0.006340,1.065146,1.128135
2010-12-22,95.712715,86.265342,1.000000,0.003111,0.003111,0.000000,0.003111,1.068460,1.131644
2010-12-23,95.575714,86.312417,1.000000,-0.001431,-0.001431,0.000000,-0.001431,1.066930,1.130024
2010-12-27,95.613777,86.359645,1.000000,0.000398,0.000398,0.000000,0.000398,1.067355,1.130474
2010-12-28,95.750717,86.407446,1.000000,0.001432,0.001432,0.000000,0.001432,1.068884,1.132093
2010-12-29,95.819206,86.452157,1.000000,0.000715,0.000715,0.000000,0.000715,1.069649,1.132903
2010-12-30,95.667030,86.493532,1.000000,-0.001588,-0.001588,0.000000,-0.001588,1.067950,1.131104
2010-12-31,95.689850,86.535245,1.000000,0.000239,0.000239,0.000000,0.000239,1.068205,1.131374
2011-01-03,96.679092,86.584114,1.000000,0.010338,0.010338,0.000000,0.010338,1.079248,1.143070
2011-01-04,96.625824,86.630395,1.000000,-0.000551,-0.000551,0.000000,-0.000551,1.078653,1.142440
2011-01-05,97.128067,86.676114,1.000000,0.005198,0.005198,0.000000,0.005198,1.084260,1.148378
2011-01-06,96.937851,86.723018,1.000000,-0.001958,-0.001958,0.000000,-0.001958,1.082136,1.146129
2011-01-07,96.747581,86.769682,1.000000,-0.001963,-0.001963,0.000000,-0.001963,1.080012,1.143880
2011-01-10,96.625824,86.816000,1.000000,-0.001259,-0.001259,0.000000,-0.001259,1.078653,1.142440
2011-01-11,96.968246,86.861257,1.000000,0.003544,0.003544,0.000000,0.003544,1.082476,1.146489
2011-01-12,97.843384,86.910591,1.000000,0.009025,0.009025,0.000000,0.009025,1.092245,1.156836
2011-01-13,97.683556,86.960623,1.000000,-0.001634,-0.001634,0.000000,-0.001634,1.090461,1.154946
2011-01-14,98.391273,87.011197,1.000000,0.007245,0.007245,0.000000,0.007245,1.098361,1.163314
2011-01-18,98.558701,87.059011,1.000000,0.001702,0.001702,0.000000,0.001702,1.100230,1.165293
2011-01-19,97.592247,87.100944,1.000000,-0.009806,-0.009806,0.000000,-0.009806,1.089441,1.153866
2011-01-20,97.462883,87.144778,1.000000,-0.001326,-0.001326,0.000000,-0.001326,1.087997,1.152337
2011-01-21,97.683556,87.188179,1.000000,0.002264,0.002264,0.000000,0.002264,1.090461,1.154946
2011-01-24,98.239075,87.231435,1.000000,0.005687,0.005687,0.000000,0.005687,1.096662,1.161514
2011-01-25,98.292320,87.274245,1.000000,0.000542,0.000542,0.000000,0.000542,1.097256,1.162144
2011-01-26,98.672821,87.318620,1.000000,0.003871,0.003871,0.000000,0.003871,1.101504,1.166642
2011-01-27,98.916306,87.359117,1.000000,0.002468,0.002468,0.000000,0.002468,1.104222,1.169521
2011-01-28,97.188927,87.390603,1.000000,-0.017463,-0.017463,0.000000,-0.017463,1.084939,1.149098
2011-01-31,97.919456,87.432973,1.000000,0.007517,0.007517,0.000000,0.007517,1.093094,1.157735
2011-02-01,99.487007,87.481494,1.000000,0.016009,0.016009,0.000000,0.016009,1.110593,1.176269
