instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
SILVER,long,2020-01-02,2020-01-28,17.966000,17.402000,-0.031393,26,stop
SILVER,short,2020-02-28,2020-04-06,16.386999,15.111000,0.077867,38,stop
SILVER,long,2020-05-01,2020-05-04,14.863000,14.722000,-0.009487,3,stop
SILVER,short,2020-09-29,2020-10-20,24.379999,24.937000,-0.022847,21,stop
SILVER,long,2020-11-27,2020-11-30,22.552999,22.534000,-0.000842,3,stop
SILVER,short,2020-11-30,2020-12-07,22.534000,24.740999,-0.097941,7,stop
SILVER,long,2020-12-22,2021-01-08,25.434000,24.582001,-0.033498,17,stop
SILVER,short,2021-03-22,2021-04-15,25.740999,25.955999,-0.008352,24,stop
SILVER,long,2021-05-03,2021-06-17,26.943001,25.844000,-0.040790,45,stop
SILVER,short,2021-06-28,2021-09-01,26.218000,24.177000,0.077847,65,stop
SILVER,long,2021-10-28,2021-11-03,24.117001,23.226000,-0.036945,6,stop
SILVER,short,2021-12-09,2021-12-23,21.974001,22.931000,-0.043551,14,stop
SILVER,long,2022-01-21,2022-01-27,24.313999,22.673000,-0.067492,6,stop
SILVER,short,2022-04-25,2022-06-02,23.667999,22.254000,0.059743,38,stop
SILVER,long,2022-08-23,2022-08-24,19.011999,18.895000,-0.006154,1,stop
SILVER,short,2022-09-01,2022-09-12,17.551001,19.754999,-0.125577,11,stop
SILVER,long,2022-10-06,2022-10-14,20.594999,18.014999,-0.125273,8,stop
SILVER,short,2023-02-09,2023-03-13,22.097000,21.792999,0.013758,32,stop
SILVER,long,2023-04-03,2023-05-11,23.941000,24.254999,0.013116,38,stop
SILVER,short,2023-05-26,2023-06-08,23.240000,24.264000,-0.044062,13,stop
SILVER,long,2023-07-21,2023-08-02,24.698000,23.754000,-0.038222,12,stop
SILVER,short,2023-08-17,2023-08-23,22.670000,24.363001,-0.074680,6,stop
SILVER,long,2023-11-08,2023-11-10,22.646999,22.215000,-0.019075,2,stop
SILVER,short,2024-01-12,2024-02-16,23.162001,23.438999,-0.011959,35,stop
SILVER,long,2024-03-06,2024-04-30,24.271999,26.391001,0.087302,55,stop
SILVER,short,2024-07-18,2024-08-16,29.995001,28.778000,0.040573,29,stop
SILVER,long,2024-09-12,2024-10-08,29.743000,30.355000,0.020576,26,stop
SILVER,short,2024-11-22,2024-12-04,31.309000,31.504999,-0.006260,12,stop
COPPER,short,2010-05-06,2010-06-25,3.103500,3.093000,0.003383,50,stop
COPPER,long,2010-07-21,2010-08-24,3.087000,3.239500,0.049401,34,stop
COPPER,short,2011-03-11,2011-04-06,4.195000,4.363500,-0.040167,26,stop
COPPER,long,2011-06-30,2011-08-03,4.272000,4.320000,0.011236,34,stop
COPPER,short,2011-08-17,2011-08-30,4.029000,4.123000,-0.023331,13,stop
COPPER,long,2011-11-17,2011-11-18,3.382000,3.402000,0.005914,1,stop
COPPER,short,2011-12-14,2011-12-23,3.271000,3.463500,-0.058851,9,reversal
COPPER,long,2011-12-23,2011-12-28,3.463500,3.360000,-0.029883,5,stop
COPPER,short,2011-12-28,2012-01-03,3.360000,3.525000,-0.049107,6,stop
COPPER,long,2012-01-13,2012-02-17,3.632000,3.705000,0.020099,35,stop
COPPER,short,2012-03-29,2012-04-02,3.794000,3.918500,-0.032815,4,stop
COPPER,long,2012-04-03,2012-04-09,3.915500,3.716000,-0.050951,6,stop
COPPER,short,2012-04-10,2012-04-27,3.646000,3.820000,-0.047724,17,stop
COPPER,long,2012-07-19,2012-07-24,3.534000,3.353000,-0.051217,5,stop
COPPER,short,2012-08-15,2012-08-21,3.351500,3.456500,-0.031329,6,stop
COPPER,long,2012-08-30,2012-10-10,3.440500,3.729000,0.083854,41,stop
COPPER,short,2012-11-01,2012-11-26,3.555000,3.536000,0.005345,25,stop
COPPER,long,2012-12-14,2012-12-20,3.665000,3.525000,-0.038199,6,stop
