date,us_2y_pct,ca_2y_pct,rate_diff_pp,d_diff_pp,usdcad_close,usdcad_return,position,gross_return,cost,net_return,cum_gross,cum_net
2013-08-26,0.380200,1.187000,-0.806800,-0.006800,1.050300,-0.001293,1.000000,-0.001293,0.000000,-0.001293,4.314323,3.311143
2013-08-27,0.368000,1.168000,-0.800000,0.006800,1.049940,-0.000343,-1.000000,0.000343,0.000476,-0.000133,4.315802,3.310701
2013-08-28,0.356000,1.199000,-0.843000,-0.043000,1.049050,-0.000848,1.000000,-0.000848,0.000477,-0.001324,4.312143,3.306317
2013-08-29,0.399000,1.213000,-0.814000,0.029000,1.049210,0.000152,-1.000000,-0.000152,0.000477,-0.000629,4.311486,3.304237
2013-08-30,0.399000,1.194000,-0.795000,0.019000,1.053900,0.004470,1.000000,0.004470,0.000474,0.003996,4.330758,3.317439
2013-09-02,0.402600,1.194000,-0.791400,0.003600,1.053570,-0.000313,1.000000,-0.000313,0.000000,-0.000313,4.329402,3.316401
2013-09-03,0.426300,1.223000,-0.796700,-0.005300,1.055130,0.001481,1.000000,0.001481,0.000000,0.001481,4.335813,3.321311
2013-09-04,0.418000,1.230000,-0.812000,-0.015300,1.053480,-0.001564,-1.000000,0.001564,0.000475,0.001089,4.342593,3.324929
2013-09-05,0.470000,1.307000,-0.837000,-0.025000,1.049600,-0.003683,-1.000000,0.003683,0.000000,0.003683,4.358587,3.337174
2013-09-06,0.518000,1.277000,-0.759000,0.078000,1.050000,0.000381,-1.000000,-0.000381,0.000000,-0.000381,4.356926,3.335903
2013-09-09,0.462500,1.279000,-0.816500,-0.057500,1.041300,-0.008286,1.000000,-0.008286,0.000480,-0.008766,4.320826,3.306661
2013-09-10,0.447000,1.311000,-0.864000,-0.047500,1.037200,-0.003937,-1.000000,0.003937,0.000482,0.003455,4.337839,3.318087
2013-09-11,0.471000,1.295000,-0.824000,0.040000,1.035300,-0.001832,-1.000000,0.001832,0.000000,0.001832,4.345785,3.324165
2013-09-12,0.447000,1.289000,-0.842000,-0.018000,1.030870,-0.004279,1.000000,-0.004279,0.000485,-0.004764,4.327190,3.308329
2013-09-13,0.443000,1.275000,-0.832000,0.010000,1.032290,0.001377,-1.000000,-0.001377,0.000484,-0.001862,4.321229,3.302169
2013-09-16,0.435200,1.261000,-0.825800,0.006200,1.030990,-0.001259,1.000000,-0.001259,0.000485,-0.001744,4.315787,3.296409
2013-09-17,0.395000,1.263000,-0.868000,-0.042200,1.031870,0.000854,1.000000,0.000854,0.000000,0.000854,4.319471,3.299223
2013-09-18,0.375000,1.274000,-0.899000,-0.031000,1.029500,-0.002297,-1.000000,0.002297,0.000486,0.001811,4.329392,3.305198
2013-09-19,0.327000,1.241000,-0.914000,-0.015000,1.022310,-0.006984,-1.000000,0.006984,0.000000,0.006984,4.359628,3.328281
2013-09-20,0.339000,1.227000,-0.888000,0.026000,1.026580,0.004177,-1.000000,-0.004177,0.000000,-0.004177,4.341419,3.314380
2013-09-23,0.334500,1.215000,-0.880500,0.007500,1.029790,0.003127,1.000000,0.003127,0.000486,0.002641,4.354995,3.323134
2013-09-24,0.334000,1.206000,-0.872000,0.008500,1.028300,-0.001447,1.000000,-0.001447,0.000000,-0.001447,4.348693,3.318326
2013-09-25,0.330000,1.208000,-0.878000,-0.006000,1.030590,0.002227,1.000000,0.002227,0.000000,0.002227,4.358378,3.325716
2013-09-26,0.340000,1.217000,-0.877000,0.001000,1.031980,0.001349,-1.000000,-0.001349,0.000485,-0.001833,4.352500,3.319619
2013-09-27,0.340000,1.214000,-0.874000,0.003000,1.031100,-0.000853,1.000000,-0.000853,0.000485,-0.001338,4.348788,3.315179
2013-09-30,0.324500,1.195000,-0.870500,0.003500,1.031200,0.000097,1.000000,0.000097,0.000000,0.000097,4.349210,3.315500
2013-10-01,0.321000,1.198000,-0.877000,-0.006500,1.032370,0.001135,1.000000,0.001135,0.000000,0.001135,4.354144,3.319262
2013-10-02,0.333000,1.178000,-0.845000,0.032000,1.033750,0.001337,-1.000000,-0.001337,0.000484,-0.001820,4.348324,3.313219
2013-10-03,0.321000,1.182000,-0.861000,-0.016000,1.032450,-0.001258,1.000000,-0.001258,0.000484,-0.001742,4.342855,3.307448
2013-10-04,0.313000,1.197000,-0.884000,-0.023000,1.032770,0.000310,-1.000000,-0.000310,0.000484,-0.000794,4.341508,3.304821
2013-10-07,0.329200,1.180000,-0.850800,0.033200,1.029880,-0.002798,-1.000000,0.002798,0.000000,0.002798,4.353657,3.314069
2013-10-08,0.345000,1.187000,-0.842000,0.008800,1.029880,0.000000,1.000000,0.000000,0.000485,-0.000485,4.353657,3.312460
2013-10-09,0.385000,1.200000,-0.815000,0.027000,1.035500,0.005457,1.000000,0.005457,0.000000,0.005457,4.377415,3.330536
2013-10-10,0.361000,1.198000,-0.837000,-0.022000,1.039280,0.003650,1.000000,0.003650,0.000000,0.003650,4.393394,3.342694
2013-10-11,0.346000,1.206000,-0.860000,-0.023000,1.040930,0.001588,-1.000000,-0.001588,0.000480,-0.002068,4.386419,3.335781
