date,eu_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,eurusd_close,eurusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2023-09-06,3.017267,5.010000,-1.992733,-0.028354,1.072616,-0.006328,-1.000000,0.006328,0.000466,0.005862,50.773550,22.564838
2023-09-07,3.053913,4.940000,-1.886087,0.106647,1.072420,-0.000182,-1.000000,0.000182,0.000000,0.000182,50.782810,22.568954
2023-09-08,3.029805,4.980000,-1.950195,-0.064108,1.069782,-0.002460,1.000000,-0.002460,0.000467,-0.002928,50.657864,22.502877
2023-09-11,3.024708,4.970000,-1.945292,0.004903,1.071811,0.001897,-1.000000,-0.001897,0.000467,-0.002364,50.561764,22.449690
2023-09-12,3.045692,4.980000,-1.934308,0.010984,1.075038,0.003010,1.000000,0.003010,0.000465,0.002545,50.713961,22.506825
2023-09-13,3.085773,4.960000,-1.874227,0.060081,1.075327,0.000269,1.000000,0.000269,0.000000,0.000269,50.727599,22.512877
2023-09-14,3.085839,5.000000,-1.914161,-0.039934,1.073422,-0.001771,1.000000,-0.001771,0.000000,-0.001771,50.637750,22.473003
2023-09-15,3.140899,5.020000,-1.879101,0.035060,1.063717,-0.009042,-1.000000,0.009042,0.000470,0.008572,51.095595,22.665631
2023-09-18,3.193330,5.050000,-1.856670,0.022432,1.066826,0.002923,1.000000,0.002923,0.000469,0.002454,51.244952,22.721261
2023-09-19,3.215768,5.080000,-1.864232,-0.007562,1.069267,0.002288,1.000000,0.002288,0.000000,0.002288,51.362214,22.773253
2023-09-20,3.197493,5.120000,-1.922507,-0.058275,1.068205,-0.000993,-1.000000,0.000993,0.000468,0.000525,51.413240,22.785218
2023-09-21,3.209608,5.120000,-1.910392,0.012114,1.065303,-0.002717,-1.000000,0.002717,0.000000,0.002717,51.552905,22.847115
2023-09-22,3.185752,5.100000,-1.914248,-0.003855,1.066155,0.000800,1.000000,0.000800,0.000469,0.000331,51.594123,22.854667
2023-09-25,3.199913,5.090000,-1.890087,0.024161,1.064849,-0.001225,-1.000000,0.001225,0.000470,0.000755,51.657304,22.871923
2023-09-26,3.188378,5.040000,-1.851622,0.038464,1.059165,-0.005338,1.000000,-0.005338,0.000472,-0.005810,51.381547,22.739031
2023-09-27,3.173573,5.100000,-1.926427,-0.074805,1.056948,-0.002093,1.000000,-0.002093,0.000000,-0.002093,51.274018,22.691443
2023-09-28,3.256552,5.040000,-1.783448,0.142980,1.050531,-0.006072,-1.000000,0.006072,0.000476,0.005596,51.585351,22.818425
2023-09-29,3.157222,5.030000,-1.872778,-0.089330,1.056245,0.005440,1.000000,0.005440,0.000473,0.004966,51.865959,22.931748
2023-10-02,3.171130,5.120000,-1.948870,-0.076092,1.056524,0.000264,-1.000000,-0.000264,0.000473,-0.000737,51.852261,22.914839
2023-10-03,3.164962,5.150000,-1.985038,-0.036168,1.048075,-0.007997,-1.000000,0.007997,0.000000,0.007997,52.266915,23.098085
2023-10-04,3.195584,5.050000,-1.854416,0.130622,1.047230,-0.000806,-1.000000,0.000806,0.000000,0.000806,52.309064,23.116712
2023-10-05,3.118778,5.030000,-1.911222,-0.056806,1.050707,0.003320,1.000000,0.003320,0.000476,0.002844,52.482745,23.182466
2023-10-06,3.102885,5.080000,-1.977115,-0.065893,1.054663,0.003765,-1.000000,-0.003765,0.000474,-0.004239,52.285139,23.084189
2023-10-09,3.052153,5.080000,-2.027847,-0.050733,1.056747,0.001976,-1.000000,-0.001976,0.000000,-0.001976,52.181817,23.038572
2023-10-10,3.051411,4.960000,-1.908589,0.119259,1.057888,0.001079,-1.000000,-0.001079,0.000000,-0.001079,52.125513,23.013714
2023-10-11,3.061407,4.990000,-1.928593,-0.020004,1.060479,0.002450,1.000000,0.002450,0.000471,0.001978,52.253210,23.059242
2023-10-12,3.093507,5.060000,-1.966493,-0.037900,1.062428,0.001838,-1.000000,-0.001838,0.000471,-0.002309,52.157173,23.006009
2023-10-13,3.052742,5.040000,-1.987258,-0.020765,1.053674,-0.008240,-1.000000,0.008240,0.000000,0.008240,52.586934,23.195572
2023-10-16,3.088959,5.090000,-2.001041,-0.013783,1.052155,-0.001441,-1.000000,0.001441,0.000000,0.001441,52.662731,23.229006
2023-10-17,3.162162,5.190000,-2.027838,-0.026797,1.055431,0.003113,-1.000000,-0.003113,0.000000,-0.003113,52.498766,23.156682
2023-10-18,3.170372,5.190000,-2.019628,0.008210,1.057306,0.001776,-1.000000,-0.001776,0.000000,-0.001776,52.405517,23.115551
2023-10-19,3.200918,5.140000,-1.939082,0.080545,1.053852,-0.003267,1.000000,-0.003267,0.000474,-0.003741,52.234314,23.029068
2023-10-20,3.116534,5.070000,-1.953466,-0.014384,1.058649,0.004552,1.000000,0.004552,0.000000,0.004552,52.472095,23.133901
2023-10-23,3.148463,5.050000,-1.901537,0.051929,1.058997,0.000328,-1.000000,-0.000328,0.000472,-0.000800,52.454871,23.115385
2023-10-24,3.095032,5.020000,-1.924968,-0.023431,1.066985,0.007544,1.000000,0.007544,0.000469,0.007075,52.850572,23.278927
2023-10-25,3.101669,5.080000,-1.978331,-0.053363,1.059535,-0.006982,-1.000000,0.006982,0.000472,0.006510,53.219595,23.430484
2023-10-26,3.057284,5.020000,-1.962716,0.015615,1.056725,-0.002652,-1.000000,0.002652,0.000000,0.002652,53.360751,23.492629
2023-10-27,3.039252,4.990000,-1.950748,0.011968,1.056446,-0.000264,1.000000,-0.000264,0.000473,-0.000737,53.346659,23.475306
2023-10-30,3.029035,5.030000,-2.000965,-0.050217,1.056245,-0.000190,1.000000,-0.000190,0.000000,-0.000190,53.336516,23.470843
2023-10-31,2.987927,5.070000,-2.082073,-0.081108,1.061504,0.004978,-1.000000,-0.004978,0.000471,-0.005449,53.070984,23.342940
2023-11-01,2.976418,4.950000,-1.973582,0.108492,1.057910,-0.003385,-1.000000,0.003385,0.000000,0.003385,53.250648,23.421964
2023-11-02,2.953230,4.980000,-2.026770,-0.053188,1.058705,0.000752,1.000000,0.000752,0.000472,0.000279,53.290678,23.428509
2023-11-03,2.953343,4.830000,-1.876657,0.150113,1.061909,0.003026,-1.000000,-0.003026,0.000471,-0.003497,53.129397,23.346572
2023-11-06,3.004927,4.930000,-1.925073,-0.048417,1.073215,0.010646,1.000000,0.010646,0.000466,0.010180,53.695030,23.584251
2023-11-07,3.013478,4.910000,-1.896522,0.028552,1.072156,-0.000986,-1.000000,0.000986,0.000466,0.000520,53.747999,23.596518
2023-11-08,2.985549,4.930000,-1.944451,-0.047930,1.069610,-0.002374,1.000000,-0.002374,0.000467,-0.002842,53.620374,23.529457
2023-11-09,3.000037,5.030000,-2.029963,-0.085512,1.071042,0.001339,-1.000000,-0.001339,0.000467,-0.001806,53.548584,23.486970
