instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
GOLD,long,2016-06-24,2016-07-15,1320.000000,1326.500000,0.004924,21,reversion
GOLD,short,2016-08-24,2016-09-06,1324.400024,1349.400024,-0.018876,13,reversion
GOLD,short,2016-09-16,2016-09-22,1305.800049,1340.400024,-0.026497,6,stop
GOLD,short,2016-10-04,2016-10-19,1266.300049,1267.900024,-0.001264,15,reversion
GOLD,long,2016-11-01,2016-11-10,1286.400024,1265.500000,-0.016247,9,stop
GOLD,short,2016-11-14,2016-12-29,1221.199951,1156.400024,0.053063,45,reversion
GOLD,long,2017-01-05,2017-01-26,1179.699951,1189.500000,0.008307,21,reversion
GOLD,long,2017-02-02,2017-03-02,1216.699951,1231.900024,0.012493,28,reversion
GOLD,short,2017-03-07,2017-03-17,1215.099976,1229.800049,-0.012098,10,reversion
GOLD,long,2017-04-11,2017-04-25,1271.199951,1265.599976,-0.004405,14,reversion
GOLD,short,2017-05-04,2017-05-17,1226.500000,1257.500000,-0.025275,13,stop
GOLD,long,2017-05-26,2017-06-15,1267.599976,1252.199951,-0.012149,20,reversion
GOLD,short,2017-06-19,2017-07-17,1244.199951,1232.800049,0.009162,28,reversion
GOLD,long,2017-07-27,2017-09-15,1259.599976,1320.400024,0.048269,50,reversion
GOLD,short,2017-09-27,2017-10-12,1283.400024,1293.300049,-0.007714,15,reversion
GOLD,short,2017-10-26,2017-11-06,1266.300049,1279.400024,-0.010345,11,reversion
GOLD,long,2017-11-17,2017-11-20,1295.800049,1274.599976,-0.016361,3,stop
GOLD,short,2017-12-05,2017-12-20,1261.599976,1266.099976,-0.003567,15,reversion
GOLD,long,2017-12-27,2018-02-06,1287.000000,1326.099976,0.030381,41,reversion
GOLD,short,2018-02-07,2018-02-14,1311.599976,1355.500000,-0.033471,7,stop
GOLD,short,2018-03-01,2018-03-06,1302.900024,1333.599976,-0.023563,5,stop
GOLD,long,2018-03-23,2018-03-28,1349.300049,1324.199951,-0.018602,5,stop
GOLD,long,2018-04-11,2018-04-23,1356.500000,1322.500000,-0.025065,12,stop
GOLD,short,2018-04-25,2018-05-10,1321.199951,1320.800049,0.000303,15,reversion
GOLD,short,2018-05-15,2018-06-14,1288.900024,1304.000000,-0.011715,30,reversion
GOLD,short,2018-06-15,2018-08-27,1274.599976,1209.000000,0.051467,73,reversion
GOLD,short,2018-09-27,2018-10-02,1182.300049,1202.400024,-0.017001,5,stop
GOLD,long,2018-10-11,2018-10-31,1223.500000,1212.300049,-0.009154,20,reversion
GOLD,long,2018-11-01,2018-11-09,1236.000000,1206.400024,-0.023948,8,stop
GOLD,short,2018-11-12,2018-11-16,1201.300049,1220.800049,-0.016232,4,stop
GOLD,long,2018-12-03,2019-01-18,1233.900024,1281.300049,0.038415,46,reversion
GOLD,long,2019-01-25,2019-03-01,1297.400024,1296.400024,-0.000771,35,reversion
GOLD,short,2019-03-04,2019-03-13,1284.800049,1307.500000,-0.017668,9,stop
GOLD,short,2019-04-15,2019-05-10,1286.800049,1285.699951,0.000855,25,reversion
GOLD,long,2019-05-13,2019-05-16,1300.099976,1285.000000,-0.011614,3,stop
GOLD,long,2019-05-31,2019-09-06,1305.800049,1506.199951,0.153469,98,reversion
GOLD,short,2019-09-10,2019-09-23,1490.300049,1523.699951,-0.022412,13,reversion
GOLD,short,2019-09-30,2019-10-03,1465.699951,1507.099976,-0.028246,3,stop
GOLD,long,2019-10-31,2019-11-05,1511.400024,1480.800049,-0.020246,5,stop
GOLD,short,2019-11-07,2019-12-03,1464.199951,1478.199951,-0.009562,26,reversion
GOLD,long,2019-12-23,2020-02-04,1482.500000,1550.400024,0.045801,43,reversion
GOLD,long,2020-02-18,2020-02-28,1600.000000,1564.099976,-0.022438,10,stop
GOLD,long,2020-03-09,2020-03-12,1674.500000,1589.300049,-0.050881,3,stop
GOLD,short,2020-03-13,2020-03-24,1515.699951,1660.199951,-0.095335,11,stop
GOLD,long,2020-04-06,2020-06-03,1677.000000,1697.800049,0.012403,58,reversion
GOLD,short,2020-06-05,2020-06-11,1676.199951,1732.000000,-0.033290,6,stop
GOLD,long,2020-06-19,2020-08-11,1745.900024,1932.599976,0.106936,53,reversion
GOLD,short,2020-08-24,2020-09-16,1927.699951,1960.199951,-0.016859,23,reversion
GOLD,short,2020-09-21,2020-10-05,1901.199951,1912.500000,-0.005944,14,reversion
GOLD,long,2020-10-21,2020-10-28,1924.599976,1876.199951,-0.025148,7,stop
GOLD,short,2020-10-29,2020-11-03,1865.599976,1908.500000,-0.022995,5,stop
GOLD,long,2020-11-05,2020-11-09,1945.300049,1853.199951,-0.047345,4,stop
GOLD,short,2020-11-23,2020-12-07,1837.800049,1861.800049,-0.013059,14,reversion
GOLD,long,2020-12-17,2021-01-08,1887.199951,1834.099976,-0.028137,22,stop
GOLD,short,2021-01-15,2021-03-18,1829.300049,1732.199951,0.053080,62,reversion
GOLD,long,2021-04-06,2021-04-30,1741.500000,1767.300049,0.014815,24,reversion
GOLD,long,2021-05-06,2021-06-03,1815.500000,1871.199951,0.030680,28,reversion
GOLD,short,2021-06-14,2021-07-02,1864.000000,1782.599976,0.043670,18,reversion
GOLD,long,2021-07-15,2021-07-23,1828.400024,1801.400024,-0.014767,8,reversion
GOLD,long,2021-07-29,2021-08-06,1831.199951,1760.000000,-0.038882,8,stop
GOLD,short,2021-08-09,2021-08-13,1723.400024,1775.199951,-0.030057,4,stop
GOLD,long,2021-09-03,2021-09-08,1830.900024,1790.699951,-0.021956,5,stop
GOLD,short,2021-09-16,2021-10-13,1754.599976,1793.699951,-0.022284,27,stop
GOLD,long,2021-10-14,2021-11-03,1796.699951,1763.599976,-0.018423,20,reversion
GOLD,long,2021-11-05,2021-11-22,1816.400024,1806.000000,-0.005726,17,reversion
GOLD,short,2021-12-02,2021-12-13,1760.699951,1786.300049,-0.014540,11,reversion
GOLD,long,2021-12-23,2022-01-06,1811.199951,1788.699951,-0.012423,14,reversion
GOLD,long,2022-01-19,2022-01-27,1843.099976,1793.300049,-0.027020,8,stop
GOLD,short,2022-01-28,2022-02-07,1784.900024,1820.599976,-0.020001,10,stop
GOLD,long,2022-02-14,2022-03-16,1868.000000,1908.000000,0.021413,30,reversion
GOLD,long,2022-04-12,2022-04-22,1972.099976,1931.000000,-0.020841,10,reversion
GOLD,short,2022-04-25,2022-05-24,1893.199951,1865.099976,0.014843,29,reversion
GOLD,long,2022-06-10,2022-06-13,1871.500000,1828.000000,-0.023243,3,stop
GOLD,short,2022-06-14,2022-07-28,1809.500000,1750.300049,0.032716,44,reversion
GOLD,long,2022-08-02,2022-08-18,1771.099976,1755.300049,-0.008921,16,reversion
GOLD,short,2022-08-30,2022-10-03,1723.199951,1692.900024,0.017584,34,reversion
GOLD,short,2022-11-03,2022-11-04,1627.300049,1672.500000,-0.027776,1,stop
GOLD,long,2022-11-08,2023-02-02,1712.099976,1916.300049,0.119269,86,reversion
GOLD,short,2023-02-03,2023-03-03,1862.900024,1847.699951,0.008159,28,reversion
GOLD,long,2023-03-13,2023-04-21,1911.699951,1979.500000,0.035466,39,reversion
GOLD,long,2023-05-04,2023-05-16,2048.000000,1988.400024,-0.029102,12,stop
GOLD,short,2023-05-18,2023-07-07,1956.500000,1926.199951,0.015487,50,reversion
GOLD,long,2023-07-13,2023-07-27,1959.199951,1945.400024,-0.007044,14,reversion
GOLD,short,2023-08-08,2023-08-23,1924.099976,1918.500000,0.002910,15,reversion
GOLD,long,2023-08-30,2023-09-06,1944.300049,1918.099976,-0.013475,7,stop
GOLD,long,2023-09-20,2023-09-21,1945.599976,1919.199951,-0.013569,1,stop
GOLD,short,2023-09-26,2023-10-11,1900.400024,1872.800049,0.014523,15,reversion
GOLD,long,2023-10-18,2023-11-07,1955.300049,1966.800049,0.005881,20,reversion
GOLD,long,2023-11-21,2023-12-08,1999.300049,1998.300049,-0.000500,17,reversion
GOLD,long,2023-12-27,2024-01-03,2081.899902,2034.199951,-0.022912,7,reversion
GOLD,short,2024-01-11,2024-01-12,2014.300049,2046.699951,-0.016085,1,stop
GOLD,short,2024-01-17,2024-01-30,2002.599976,2031.500000,-0.014431,13,reversion
