date,gb_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,gbpusd_close,gbpusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2022-04-21,1.756000,2.688000,-0.932000,0.080000,1.306882,0.004234,-1.000000,-0.004234,0.000000,-0.004234,7.084011,3.764034
2022-04-22,1.718000,2.673000,-0.955000,-0.023000,1.302626,-0.003257,1.000000,-0.003257,0.000384,-0.003640,7.060942,3.750332
2022-04-25,1.565000,2.630000,-1.065000,-0.110000,1.283088,-0.014999,-1.000000,0.014999,0.000390,0.014610,7.166852,3.805123
2022-04-26,1.503000,2.481000,-0.978000,0.087000,1.273999,-0.007083,-1.000000,0.007083,0.000000,0.007083,7.217617,3.832076
2022-04-27,1.493000,2.593000,-1.100000,-0.122000,1.258400,-0.012244,1.000000,-0.012244,0.000397,-0.012642,7.129243,3.783633
2022-04-28,1.545000,2.623000,-1.078000,0.022000,1.254186,-0.003349,-1.000000,0.003349,0.000399,0.002950,7.153117,3.794795
2022-04-29,1.595000,2.721000,-1.126000,-0.048000,1.246385,-0.006219,1.000000,-0.006219,0.000401,-0.006621,7.108629,3.769671
2022-05-02,1.595000,2.733000,-1.138000,-0.012000,1.257387,0.008827,-1.000000,-0.008827,0.000398,-0.009225,7.045882,3.734897
2022-05-03,1.648000,2.784000,-1.136000,0.002000,1.249828,-0.006012,-1.000000,0.006012,0.000000,0.006012,7.088239,3.757350
2022-05-04,1.643000,2.646000,-1.003000,0.133000,1.250041,0.000170,1.000000,0.000170,0.000400,-0.000230,7.089443,3.756485
2022-05-05,1.548000,2.712000,-1.164000,-0.161000,1.261814,0.009418,1.000000,0.009418,0.000000,0.009418,7.156213,3.791865
2022-05-06,1.511000,2.741000,-1.230000,-0.066000,1.236415,-0.020129,-1.000000,0.020129,0.000404,0.019725,7.300260,3.866658
2022-05-09,1.390000,2.596000,-1.206000,0.024000,1.232666,-0.003032,-1.000000,0.003032,0.000000,0.003032,7.322396,3.878383
2022-05-10,1.329000,2.610000,-1.281000,-0.075000,1.233882,0.000987,1.000000,0.000987,0.000405,0.000582,7.329624,3.880639
2022-05-11,1.287000,2.647000,-1.360000,-0.079000,1.230921,-0.002400,-1.000000,0.002400,0.000406,0.001994,7.347217,3.888378
2022-05-12,1.178000,2.565000,-1.387000,-0.027000,1.223421,-0.006093,-1.000000,0.006093,0.000000,0.006093,7.391981,3.912068
2022-05-13,1.250000,2.582000,-1.332000,0.055000,1.220614,-0.002295,-1.000000,0.002295,0.000000,0.002295,7.408945,3.921045
2022-05-16,1.231000,2.576000,-1.345000,-0.013000,1.225851,0.004290,1.000000,0.004290,0.000408,0.003883,7.440732,3.936269
2022-05-17,1.448000,2.711000,-1.263000,0.082000,1.232483,0.005411,-1.000000,-0.005411,0.000406,-0.005816,7.400474,3.913375
2022-05-18,1.460000,2.671000,-1.211000,0.052000,1.248439,0.012946,1.000000,0.012946,0.000401,0.012546,7.496283,3.962471
2022-05-19,1.488000,2.611000,-1.123000,0.088000,1.234583,-0.011099,1.000000,-0.011099,0.000000,-0.011099,7.413082,3.918492
2022-05-20,1.504000,2.585000,-1.081000,0.042000,1.246215,0.009421,1.000000,0.009421,0.000000,0.009421,7.482924,3.955410
2022-05-23,1.575000,2.625000,-1.050000,0.031000,1.250406,0.003364,1.000000,0.003364,0.000000,0.003364,7.508093,3.968714
2022-05-24,1.453000,2.485000,-1.032000,0.018000,1.256755,0.005077,1.000000,0.005077,0.000000,0.005077,7.546214,3.988865
2022-05-25,1.432000,2.498000,-1.066000,-0.034000,1.254296,-0.001957,1.000000,-0.001957,0.000000,-0.001957,7.531448,3.981060
2022-05-26,1.456000,2.482000,-1.026000,0.040000,1.258610,0.003440,-1.000000,-0.003440,0.000397,-0.003837,7.505542,3.965784
2022-05-27,1.434000,2.484000,-1.050000,-0.024000,1.261734,0.002482,1.000000,0.002482,0.000396,0.002086,7.524169,3.974055
2022-05-30,1.489000,2.572588,-1.083588,-0.033588,1.262834,0.000871,-1.000000,-0.000871,0.000396,-0.001267,7.517612,3.969018
2022-05-31,1.589000,2.563000,-0.974000,0.109588,1.264702,0.001480,-1.000000,-0.001480,0.000000,-0.001480,7.506489,3.963146
2022-06-01,1.673000,2.648000,-0.975000,-0.001000,1.260891,-0.003013,1.000000,-0.003013,0.000397,-0.003410,7.483869,3.949632
2022-06-02,1.673000,2.634000,-0.961000,0.014000,1.248315,-0.009974,-1.000000,0.009974,0.000401,0.009574,7.558514,3.987443
2022-06-03,1.673000,2.659000,-0.986000,-0.025000,1.257925,0.007699,1.000000,0.007699,0.000397,0.007301,7.616703,4.016556
2022-06-06,1.770000,2.732000,-0.962000,0.024000,1.249230,-0.006912,-1.000000,0.006912,0.000400,0.006512,7.669350,4.042711
2022-06-07,1.747000,2.733000,-0.986000,-0.024000,1.252348,0.002496,1.000000,0.002496,0.000399,0.002097,7.688492,4.051187
2022-06-08,1.778000,2.774000,-0.996000,-0.010000,1.258732,0.005098,-1.000000,-0.005098,0.000397,-0.005495,7.649297,4.028926
2022-06-09,1.860000,2.815000,-0.955000,0.041000,1.254029,-0.003737,-1.000000,0.003737,0.000000,0.003737,7.677883,4.043982
2022-06-10,2.047000,3.067000,-1.020000,-0.065000,1.249297,-0.003773,1.000000,-0.003773,0.000400,-0.004173,7.648915,4.027106
2022-06-13,2.133000,3.360000,-1.227000,-0.207000,1.227491,-0.017455,-1.000000,0.017455,0.000407,0.017048,7.782426,4.095758
2022-06-14,2.112000,3.437000,-1.325000,-0.098000,1.214477,-0.010602,-1.000000,0.010602,0.000000,0.010602,7.864938,4.139183
2022-06-15,1.968000,3.197000,-1.229000,0.096000,1.201259,-0.010883,-1.000000,0.010883,0.000000,0.010883,7.950536,4.184231
2022-06-16,2.115000,3.100000,-0.985000,0.244000,1.217434,0.013465,1.000000,0.013465,0.000411,0.013054,8.057589,4.238853
2022-06-17,2.205000,3.185000,-0.980000,0.005000,1.235483,0.014826,1.000000,0.014826,0.000000,0.014826,8.177049,4.301697
2022-06-20,2.292000,3.235446,-0.943446,0.036554,1.222823,-0.010247,1.000000,-0.010247,0.000000,-0.010247,8.093257,4.257617
2022-06-21,2.316000,3.201000,-0.885000,0.058446,1.225175,0.001924,1.000000,0.001924,0.000000,0.001924,8.108824,4.265806
2022-06-22,2.148000,3.062000,-0.914000,-0.029000,1.226663,0.001214,1.000000,0.001214,0.000000,0.001214,8.118671,4.270987
2022-06-23,1.940000,3.023000,-1.083000,-0.169000,1.225085,-0.001286,-1.000000,0.001286,0.000408,0.000878,8.129114,4.274737
